time,cpu,memory,incident
04:23.5,0.0,71.1,WARNING
04:28.5,0.0,71.1,WARNING
04:33.5,0.0,71.6,WARNING
04:38.5,0.0,71.6,WARNING
04:43.5,0.0,73.8,WARNING
04:48.5,0.0,76.6,WARNING
04:53.5,0.0,75.5,WARNING
04:58.5,66.7,70.8,WARNING
05:03.5,0.0,71.1,WARNING
05:08.5,0.0,72.3,WARNING
05:13.5,0.0,72.4,WARNING
05:18.5,0.0,71.9,WARNING
05:23.5,0.0,72.5,WARNING
05:28.5,0.0,70.7,WARNING
05:33.5,0.0,70.5,WARNING
05:38.5,0.0,70.2,WARNING
05:43.5,0.0,70.2,WARNING
05:48.5,0.0,70.2,WARNING
05:53.5,83.3,69.1,WARNING
05:58.5,0.0,69.2,HEALTHY
06:03.5,0.0,69.7,HEALTHY
06:08.5,0.0,69.6,HEALTHY
06:13.5,0.0,70.1,WARNING
06:18.5,0.0,70.0,HEALTHY
06:23.5,0.0,68.9,HEALTHY
06:28.5,0.0,68.6,HEALTHY
06:33.5,0.0,68.7,HEALTHY
06:38.5,0.0,68.7,HEALTHY
06:43.5,0.0,68.9,HEALTHY
06:48.5,0.0,68.9,HEALTHY
06:53.5,0.0,69.5,HEALTHY
06:58.4,0.0,69.7,HEALTHY
07:03.4,0.0,70.1,WARNING
07:08.4,17.1,70.0,HEALTHY
07:13.5,0.0,70.2,WARNING
07:18.4,0.0,70.0,HEALTHY
07:23.4,0.0,70.2,WARNING
07:28.4,0.0,69.8,HEALTHY
07:33.4,0.0,69.9,HEALTHY
07:38.4,0.0,69.6,HEALTHY
07:43.4,0.0,69.7,HEALTHY
07:48.4,0.0,69.4,HEALTHY
07:53.4,0.0,71.7,WARNING
07:58.4,0.0,71.1,WARNING
08:03.4,0.0,71.2,WARNING
08:08.4,20.0,71.0,WARNING
08:13.4,0.0,71.0,WARNING
08:18.4,0.0,70.6,WARNING
08:23.4,0.0,71.1,WARNING
08:28.4,0.0,70.5,WARNING
08:33.4,0.0,70.3,WARNING
08:38.4,0.0,70.7,WARNING
08:43.4,0.0,71.4,WARNING
08:48.4,0.0,71.0,WARNING
08:53.4,0.0,71.2,WARNING
08:58.4,0.0,71.3,WARNING
09:03.4,0.0,72.0,WARNING
09:08.4,0.0,71.9,WARNING
09:13.4,0.0,70.8,WARNING
09:18.4,0.0,70.7,WARNING
09:23.4,0.0,71.0,WARNING
09:28.4,0.0,70.6,WARNING
09:33.4,0.0,70.8,WARNING
09:38.4,0.0,70.4,WARNING
09:43.4,0.0,71.0,WARNING
09:48.4,0.0,71.1,WARNING
09:53.4,0.0,71.0,WARNING
09:58.4,0.0,70.5,WARNING
10:03.4,0.0,70.7,WARNING
10:08.4,0.0,70.3,WARNING
10:13.4,0.0,70.4,WARNING
10:18.4,0.0,70.3,WARNING
10:23.4,0.0,70.3,WARNING
10:28.4,0.0,70.1,WARNING
10:33.4,0.0,70.4,WARNING
10:38.4,25.0,70.5,WARNING
10:43.4,0.0,70.7,WARNING
10:48.4,0.0,70.4,WARNING
10:53.4,0.0,70.3,WARNING
10:58.4,0.0,65.4,HEALTHY
11:03.4,0.0,65.0,HEALTHY
11:08.4,0.0,64.8,HEALTHY
11:13.4,0.0,65.5,HEALTHY
11:18.4,11.9,65.7,HEALTHY
11:23.4,11.7,66.3,HEALTHY
11:28.4,0.0,66.2,HEALTHY
11:33.4,0.0,66.4,HEALTHY
11:38.4,0.0,66.8,HEALTHY
11:43.4,0.0,66.2,HEALTHY
11:48.4,0.0,65.9,HEALTHY
11:53.4,0.0,65.9,HEALTHY
11:58.4,0.0,66.2,HEALTHY
12:03.4,0.0,66.8,HEALTHY
12:08.4,0.0,66.5,HEALTHY
12:13.4,0.0,67.5,HEALTHY
12:18.4,0.0,67.6,HEALTHY
12:23.4,0.0,68.2,HEALTHY
12:28.4,0.0,68.6,HEALTHY
12:33.4,0.0,68.6,HEALTHY
12:38.4,0.0,68.2,HEALTHY
12:43.4,0.0,66.4,HEALTHY
12:48.4,0.0,66.1,HEALTHY
12:53.3,0.0,66.5,HEALTHY
12:58.4,0.0,66.5,HEALTHY
13:03.3,0.0,66.8,HEALTHY
13:08.4,0.0,66.4,HEALTHY
13:13.3,0.0,66.4,HEALTHY
13:18.3,0.0,66.6,HEALTHY
13:23.3,0.0,67.2,HEALTHY
13:28.4,0.0,67.0,HEALTHY
13:33.3,0.0,66.8,HEALTHY
13:38.3,0.0,66.3,HEALTHY
13:43.3,0.0,66.5,HEALTHY
13:48.3,0.0,66.1,HEALTHY
13:53.3,13.3,66.7,HEALTHY
13:58.3,0.0,66.8,HEALTHY
14:03.3,0.0,67.3,HEALTHY
14:08.3,0.0,67.0,HEALTHY
14:13.3,0.0,67.1,HEALTHY
14:18.3,0.0,66.9,HEALTHY
14:23.3,16.7,66.9,HEALTHY
14:28.3,0.0,66.6,HEALTHY
14:33.3,0.0,66.8,HEALTHY
14:38.3,0.0,66.6,HEALTHY
14:43.3,0.0,66.8,HEALTHY
14:48.3,0.0,66.5,HEALTHY
14:53.3,0.0,66.7,HEALTHY
14:58.3,0.0,66.9,HEALTHY
15:03.3,0.0,67.1,HEALTHY
15:08.3,0.0,66.9,HEALTHY
15:13.3,11.7,66.9,HEALTHY
15:18.3,0.0,66.7,HEALTHY
15:23.3,0.0,66.9,HEALTHY
15:28.3,0.0,66.5,HEALTHY
15:33.3,0.0,66.7,HEALTHY
15:38.3,0.0,66.5,HEALTHY
15:43.3,0.0,66.7,HEALTHY
15:48.3,0.0,66.4,HEALTHY
15:53.3,0.0,66.6,HEALTHY
15:58.3,0.0,65.3,HEALTHY
16:03.3,0.0,65.7,HEALTHY
16:08.3,0.0,65.4,HEALTHY
16:13.3,0.0,65.7,HEALTHY
16:18.3,0.0,65.2,HEALTHY
16:23.3,0.0,65.4,HEALTHY
16:28.3,0.0,65.0,HEALTHY
16:33.3,0.0,65.6,HEALTHY
16:38.3,100.0,65.2,CRITICAL
16:43.3,0.0,65.1,HEALTHY
16:48.3,0.0,64.9,HEALTHY
16:53.3,0.0,65.1,HEALTHY
16:58.3,0.0,64.9,HEALTHY
17:03.3,0.0,65.2,HEALTHY
17:08.3,0.0,64.9,HEALTHY
17:13.3,0.0,65.2,HEALTHY
21:28.3,0.0,63.7,HEALTHY
21:33.3,0.0,64.5,HEALTHY
21:38.3,0.0,65.2,HEALTHY
21:43.2,0.0,65.0,HEALTHY
21:48.2,0.0,64.9,HEALTHY
21:53.2,0.0,65.2,HEALTHY
21:58.3,0.0,65.2,HEALTHY
22:03.2,0.0,65.6,HEALTHY
22:08.2,0.0,65.5,HEALTHY
22:13.2,0.0,65.7,HEALTHY
22:18.2,0.0,65.4,HEALTHY
22:23.2,0.0,66.4,HEALTHY
22:28.2,0.0,66.5,HEALTHY
22:33.2,0.0,66.8,HEALTHY
22:38.2,0.0,66.1,HEALTHY
22:43.2,0.0,66.6,HEALTHY
22:48.2,0.0,66.7,HEALTHY
22:53.2,0.0,67.2,HEALTHY
22:58.2,0.0,67.2,HEALTHY
23:03.2,0.0,65.4,HEALTHY
23:08.2,0.0,65.0,HEALTHY
23:13.2,0.0,65.3,HEALTHY
23:18.2,0.0,65.0,HEALTHY
23:23.2,0.0,65.2,HEALTHY
23:28.2,0.0,65.0,HEALTHY
23:33.2,0.0,65.4,HEALTHY
23:38.2,0.0,65.1,HEALTHY
23:43.2,0.0,65.4,HEALTHY
23:48.2,0.0,64.8,HEALTHY
23:53.2,0.0,65.2,HEALTHY
26:23.2,0.0,64.9,HEALTHY
26:28.2,0.0,64.8,HEALTHY
26:29.2,0.0,64.8,HEALTHY
26:30.4,0.0,64.8,HEALTHY
26:33.2,0.0,64.9,HEALTHY
26:38.4,0.0,64.7,HEALTHY
26:43.2,0.0,65.0,HEALTHY
26:48.2,0.0,65.3,HEALTHY
26:53.2,0.0,65.4,HEALTHY
26:58.2,0.0,64.9,HEALTHY
27:03.2,0.0,65.0,HEALTHY
27:08.2,0.0,64.5,HEALTHY
27:13.2,0.0,64.8,HEALTHY
27:18.2,0.0,64.6,HEALTHY
27:23.2,0.0,64.9,HEALTHY
27:28.2,0.0,64.9,HEALTHY
27:33.2,9.0,65.1,HEALTHY
27:38.2,0.0,64.9,HEALTHY
27:43.2,0.0,65.1,HEALTHY
27:48.2,0.0,64.9,HEALTHY
27:53.2,0.0,65.0,HEALTHY
27:58.2,0.0,64.5,HEALTHY
28:03.2,0.0,64.7,HEALTHY
28:08.2,0.0,64.4,HEALTHY
28:13.2,0.0,64.6,HEALTHY
28:18.2,0.0,64.3,HEALTHY
28:23.2,0.0,64.7,HEALTHY
28:28.2,0.0,64.4,HEALTHY
28:33.2,0.0,64.6,HEALTHY
28:38.2,0.0,64.4,HEALTHY
28:43.2,0.0,64.7,HEALTHY
28:48.2,0.0,64.4,HEALTHY
28:53.2,0.0,64.6,HEALTHY
28:58.2,0.0,64.4,HEALTHY
29:03.2,0.0,64.7,HEALTHY
29:08.2,0.0,64.8,HEALTHY
29:13.2,0.0,64.9,HEALTHY
29:18.2,0.0,64.8,HEALTHY
29:23.2,0.0,65.0,HEALTHY
29:28.2,0.0,64.8,HEALTHY
29:33.2,0.0,65.0,HEALTHY
29:38.2,0.0,64.5,HEALTHY
29:43.2,0.0,64.7,HEALTHY
29:48.2,0.0,64.8,HEALTHY
29:53.2,5.5,65.1,HEALTHY
29:58.2,0.0,64.9,HEALTHY
30:03.2,6.2,65.0,HEALTHY
30:08.2,0.0,64.6,HEALTHY
30:13.2,0.0,64.8,HEALTHY
30:18.2,0.0,64.9,HEALTHY
30:23.2,0.0,65.0,HEALTHY
30:28.2,0.0,64.8,HEALTHY
30:33.2,0.0,64.8,HEALTHY
30:38.2,0.0,64.9,HEALTHY
30:43.2,0.0,65.1,HEALTHY
30:48.2,0.0,65.0,HEALTHY
30:53.2,0.0,65.2,HEALTHY
30:58.2,0.0,64.9,HEALTHY
31:03.2,0.0,65.2,HEALTHY
31:08.2,0.0,65.4,HEALTHY
31:13.2,0.0,65.7,HEALTHY
31:18.2,0.0,65.3,HEALTHY
31:23.2,0.0,65.4,HEALTHY
31:28.2,0.0,65.2,HEALTHY
31:33.2,0.0,65.5,HEALTHY
31:38.2,8.5,65.5,HEALTHY
31:43.2,0.0,65.0,HEALTHY
31:48.2,0.0,64.8,HEALTHY
31:53.2,0.0,65.0,HEALTHY
31:58.2,0.0,64.8,HEALTHY
32:03.2,0.0,65.2,HEALTHY
32:08.2,0.0,65.0,HEALTHY
32:13.2,0.0,65.0,HEALTHY
32:18.2,0.0,64.5,HEALTHY
32:23.2,0.0,64.8,HEALTHY
32:28.2,0.0,64.6,HEALTHY
32:33.2,9.0,64.8,HEALTHY
32:38.2,0.0,64.5,HEALTHY
32:43.2,0.0,65.1,HEALTHY
32:48.2,0.0,65.0,HEALTHY
32:53.2,0.0,65.2,HEALTHY
32:58.2,0.0,64.8,HEALTHY
33:03.2,0.0,65.0,HEALTHY
33:08.2,0.0,64.8,HEALTHY
33:13.2,0.0,64.6,HEALTHY
33:18.2,0.0,65.5,HEALTHY
33:23.2,0.0,65.7,HEALTHY
33:28.2,0.0,65.4,HEALTHY
33:33.2,0.0,65.5,HEALTHY
33:38.2,0.0,65.7,HEALTHY
33:43.2,0.0,65.9,HEALTHY
33:48.2,0.0,65.6,HEALTHY
33:53.2,0.0,65.7,HEALTHY
33:58.2,0.0,66.3,HEALTHY
34:03.2,0.0,66.5,HEALTHY
34:08.2,0.0,66.3,HEALTHY
34:13.2,0.0,66.8,HEALTHY
34:18.2,0.0,66.9,HEALTHY
34:23.2,0.0,67.0,HEALTHY
34:28.2,0.0,66.4,HEALTHY
34:33.2,0.0,65.2,HEALTHY
34:38.2,0.0,65.0,HEALTHY
34:43.2,0.0,65.3,HEALTHY
34:48.2,0.0,65.0,HEALTHY
34:53.2,0.0,65.2,HEALTHY
34:58.2,0.0,64.9,HEALTHY
35:03.2,0.0,65.2,HEALTHY
35:08.2,0.0,64.9,HEALTHY
35:13.2,0.0,65.3,HEALTHY
35:18.2,0.0,65.1,HEALTHY
35:23.2,0.0,65.3,HEALTHY
35:28.2,8.3,65.1,HEALTHY
35:33.2,0.0,65.4,HEALTHY
35:38.2,50.0,65.4,HEALTHY
35:43.2,0.0,65.5,HEALTHY
35:48.2,0.0,65.2,HEALTHY
35:53.2,100.0,65.4,CRITICAL
35:58.2,0.0,65.1,HEALTHY
36:03.2,0.0,64.1,HEALTHY
36:08.2,0.0,63.6,HEALTHY
36:13.1,0.0,64.1,HEALTHY
36:18.1,0.0,63.9,HEALTHY
36:23.2,0.0,64.1,HEALTHY
36:28.1,8.3,63.9,HEALTHY
36:33.1,0.0,64.2,HEALTHY
36:38.1,0.0,64.1,HEALTHY
36:43.1,0.0,63.9,HEALTHY
36:48.2,0.0,63.7,HEALTHY
36:53.1,0.0,64.1,HEALTHY
36:58.2,0.0,63.8,HEALTHY
37:03.1,0.0,63.8,HEALTHY
37:08.1,0.0,63.7,HEALTHY
37:13.1,0.0,63.9,HEALTHY
37:18.1,8.4,63.5,HEALTHY
37:23.1,0.0,63.7,HEALTHY
37:28.1,0.0,63.6,HEALTHY
37:33.1,0.0,63.9,HEALTHY
37:38.1,0.0,63.7,HEALTHY
37:43.1,0.0,63.9,HEALTHY
37:48.1,8.0,63.6,HEALTHY
37:53.1,0.0,63.8,HEALTHY
37:58.1,0.0,63.7,HEALTHY
38:03.1,0.0,64.5,HEALTHY
38:08.1,0.0,64.3,HEALTHY
38:13.1,0.0,64.6,HEALTHY
38:18.1,0.0,64.4,HEALTHY
38:23.1,0.0,64.9,HEALTHY
38:28.1,0.0,64.6,HEALTHY
38:33.1,0.0,64.6,HEALTHY
38:38.1,0.0,64.9,HEALTHY
38:43.1,0.0,65.3,HEALTHY
38:48.1,0.0,64.9,HEALTHY
38:53.1,0.0,65.3,HEALTHY
38:58.1,0.0,65.6,HEALTHY
39:03.1,0.0,65.6,HEALTHY
39:08.1,0.0,65.5,HEALTHY
39:13.1,58.3,64.9,HEALTHY
39:18.1,0.0,64.6,HEALTHY
39:23.1,0.0,65.0,HEALTHY
39:28.1,0.0,64.8,HEALTHY
39:33.1,0.0,64.8,HEALTHY
39:38.1,0.0,64.5,HEALTHY
39:43.1,0.0,65.1,HEALTHY
39:48.1,0.0,64.9,HEALTHY
39:53.1,0.0,65.0,HEALTHY
39:58.1,0.0,64.7,HEALTHY
40:03.1,0.0,64.9,HEALTHY
40:08.1,8.5,64.7,HEALTHY
40:13.1,0.0,65.0,HEALTHY
40:18.1,100.0,64.5,CRITICAL
40:23.1,0.0,64.7,HEALTHY
40:28.1,0.0,64.4,HEALTHY
40:33.1,8.8,64.8,HEALTHY
40:38.1,0.0,64.9,HEALTHY
40:43.1,0.0,65.1,HEALTHY
40:48.1,0.0,65.3,HEALTHY
40:53.1,0.0,65.8,HEALTHY
40:58.1,0.0,66.2,HEALTHY
41:03.1,0.0,65.6,HEALTHY
41:08.1,8.4,63.3,HEALTHY
41:13.1,0.0,63.4,HEALTHY
41:18.1,0.0,63.6,HEALTHY
41:23.1,0.0,63.8,HEALTHY
41:28.1,0.0,63.8,HEALTHY
41:33.1,0.0,63.9,HEALTHY
41:38.1,0.0,64.0,HEALTHY
41:43.1,0.0,63.2,HEALTHY
41:48.1,0.0,63.2,HEALTHY
41:53.1,0.0,63.2,HEALTHY
41:58.1,0.0,63.7,HEALTHY
42:03.1,0.0,63.6,HEALTHY
42:08.1,0.0,63.3,HEALTHY
42:13.1,0.0,63.3,HEALTHY
42:18.1,0.0,63.2,HEALTHY
42:23.1,66.7,63.3,HEALTHY
42:28.1,8.8,63.3,HEALTHY
42:33.1,0.0,64.1,HEALTHY
42:38.1,0.0,63.9,HEALTHY
42:43.1,0.0,63.9,HEALTHY
42:48.1,0.0,64.2,HEALTHY
42:53.1,0.0,64.7,HEALTHY
42:58.1,0.0,64.9,HEALTHY
43:03.1,0.0,64.9,HEALTHY
43:08.1,8.9,63.4,HEALTHY
43:13.1,8.9,63.7,HEALTHY
43:18.1,0.0,64.3,HEALTHY
43:23.1,0.0,64.5,HEALTHY
43:28.1,0.0,64.1,HEALTHY
43:33.1,0.0,64.0,HEALTHY
43:38.1,0.0,63.9,HEALTHY
43:43.1,0.0,63.7,HEALTHY
43:48.1,0.0,63.2,HEALTHY
43:53.1,0.0,63.1,HEALTHY
43:58.1,0.0,63.5,HEALTHY
44:03.1,0.0,63.6,HEALTHY
44:08.1,0.0,63.2,HEALTHY
44:13.1,0.0,63.2,HEALTHY
44:18.1,0.0,63.2,HEALTHY
44:23.1,9.1,63.5,HEALTHY
44:28.1,0.0,63.6,HEALTHY
44:33.1,0.0,63.5,HEALTHY
44:38.1,0.0,64.0,HEALTHY
44:43.1,0.0,64.1,HEALTHY
44:48.1,0.0,64.1,HEALTHY
44:53.1,0.0,64.0,HEALTHY
44:58.1,0.0,63.7,HEALTHY
45:03.1,9.0,63.7,HEALTHY
45:08.1,0.0,63.6,HEALTHY
45:13.1,0.0,63.8,HEALTHY
45:18.1,0.0,64.2,HEALTHY
47:13.1,0.0,63.7,HEALTHY
47:18.1,0.0,63.4,HEALTHY
47:23.1,0.0,63.5,HEALTHY
47:23.3,0.0,63.5,HEALTHY
47:24.2,0.0,63.8,HEALTHY
47:28.2,0.0,65.7,HEALTHY
47:33.1,0.0,63.6,HEALTHY
47:38.1,0.0,63.9,HEALTHY
47:43.1,0.0,63.9,HEALTHY
47:48.1,0.0,64.2,HEALTHY
47:53.1,0.0,64.0,HEALTHY
47:58.1,0.0,63.9,HEALTHY
48:03.1,0.0,63.9,HEALTHY
48:08.1,0.0,63.9,HEALTHY
48:13.1,0.0,64.0,HEALTHY
48:18.1,51.0,63.6,HEALTHY
48:23.1,0.0,63.8,HEALTHY
48:28.1,0.0,63.8,HEALTHY
48:33.1,0.0,63.6,HEALTHY
48:38.1,0.0,64.9,HEALTHY
48:43.1,0.0,64.9,HEALTHY
48:48.1,0.0,64.9,HEALTHY
48:53.1,0.0,64.7,HEALTHY
48:58.1,0.0,64.4,HEALTHY
49:03.1,0.0,64.4,HEALTHY
49:08.1,100.0,64.3,CRITICAL
49:13.1,0.0,64.3,HEALTHY
49:18.1,0.0,64.4,HEALTHY
49:23.1,0.0,64.4,HEALTHY
49:28.1,0.0,64.3,HEALTHY
49:33.1,0.0,64.4,HEALTHY
49:38.1,0.0,64.4,HEALTHY
49:43.1,31.0,64.3,HEALTHY
49:48.1,0.0,64.1,HEALTHY
49:53.1,0.0,64.0,HEALTHY
49:58.0,0.0,64.3,HEALTHY
50:03.1,100.0,64.8,CRITICAL
50:08.0,9.0,64.8,HEALTHY
50:13.0,0.0,64.9,HEALTHY
50:18.1,0.0,65.3,HEALTHY
50:23.0,0.0,65.8,HEALTHY
50:28.1,0.0,66.0,HEALTHY
50:33.0,0.0,64.3,HEALTHY
50:38.0,0.0,64.3,HEALTHY
50:43.0,0.0,64.2,HEALTHY
50:48.1,0.0,64.2,HEALTHY
50:53.0,0.0,63.9,HEALTHY
50:58.1,0.0,64.0,HEALTHY
51:03.0,0.0,63.9,HEALTHY
51:08.1,0.0,63.7,HEALTHY
51:13.0,0.0,63.5,HEALTHY
51:18.1,59.2,63.5,HEALTHY
51:23.0,0.0,63.8,HEALTHY
51:28.0,0.0,63.7,HEALTHY
51:33.0,100.0,63.8,CRITICAL
51:38.0,100.0,64.0,CRITICAL
51:43.0,40.0,63.8,HEALTHY
51:48.1,0.0,63.9,HEALTHY
51:53.0,0.0,63.8,HEALTHY
51:58.0,0.0,63.7,HEALTHY
52:03.0,0.0,63.7,HEALTHY
52:08.0,21.3,63.8,HEALTHY
52:13.0,0.0,63.3,HEALTHY
52:18.0,0.0,63.2,HEALTHY
52:23.0,0.0,63.1,HEALTHY
52:28.0,0.0,63.2,HEALTHY
52:33.0,0.0,63.3,HEALTHY
52:38.0,0.0,63.4,HEALTHY
52:43.0,0.0,63.3,HEALTHY
52:48.0,0.0,63.3,HEALTHY
52:53.0,35.0,63.1,HEALTHY
52:58.0,0.0,63.2,HEALTHY
53:03.0,0.0,63.3,HEALTHY
53:08.1,0.0,63.3,HEALTHY
53:13.0,0.0,63.2,HEALTHY
53:18.0,0.0,63.2,HEALTHY
53:23.0,0.0,63.3,HEALTHY
53:28.0,0.0,63.3,HEALTHY
53:33.0,0.0,63.3,HEALTHY
53:38.0,0.0,63.3,HEALTHY
53:43.0,0.0,63.5,HEALTHY
53:48.0,0.0,63.4,HEALTHY
53:53.0,0.0,63.3,HEALTHY
53:58.0,50.0,64.0,HEALTHY
54:03.1,100.0,63.9,CRITICAL
54:08.0,23.8,63.9,HEALTHY
54:13.0,0.0,63.9,HEALTHY
54:18.0,0.0,64.4,HEALTHY
54:23.0,0.0,65.2,HEALTHY
54:28.0,0.0,64.9,HEALTHY
54:33.0,0.0,64.3,HEALTHY
54:38.0,0.0,65.0,HEALTHY
54:43.0,58.0,63.9,HEALTHY
54:48.0,0.0,64.4,HEALTHY
54:53.0,0.0,64.6,HEALTHY
54:58.0,0.0,62.8,HEALTHY
55:03.0,0.0,62.9,HEALTHY
56:11.8,0.0,66.1,HEALTHY
56:16.8,0.0,65.7,HEALTHY
56:21.8,0.0,65.9,HEALTHY
56:26.8,50.0,67.1,HEALTHY
56:31.8,0.0,66.0,HEALTHY
56:36.8,14.9,65.9,HEALTHY
56:41.8,0.0,65.7,HEALTHY
56:46.8,0.0,65.9,HEALTHY
56:51.8,0.0,65.8,HEALTHY
56:56.8,0.0,65.8,HEALTHY
57:01.8,0.0,65.8,HEALTHY
57:06.8,0.0,65.7,HEALTHY
57:11.8,0.0,65.8,HEALTHY
57:16.8,0.0,65.5,HEALTHY
57:21.8,0.0,65.5,HEALTHY
57:26.8,11.7,65.4,HEALTHY
57:31.8,30.0,65.3,HEALTHY
57:36.8,0.0,65.3,HEALTHY
57:41.8,0.0,65.5,HEALTHY
57:46.8,16.4,65.5,HEALTHY
57:51.8,53.0,65.5,HEALTHY
57:56.8,0.0,65.5,HEALTHY
58:01.8,0.0,65.6,HEALTHY
58:03.4,0.0,65.5,HEALTHY
58:06.8,0.0,65.6,HEALTHY
58:11.8,0.0,65.7,HEALTHY
58:16.8,0.0,65.6,HEALTHY
58:21.8,0.0,62.8,HEALTHY
58:26.8,0.0,62.2,HEALTHY
58:31.8,0.0,62.4,HEALTHY
15:23.6,0.0,67.6,HEALTHY
15:28.6,0.0,67.2,HEALTHY
15:33.6,0.0,67.0,HEALTHY
15:38.6,33.0,66.9,HEALTHY
15:43.6,0.0,66.8,HEALTHY
15:48.6,0.0,66.8,HEALTHY
15:53.6,35.0,66.8,HEALTHY
15:58.6,0.0,66.5,HEALTHY
16:03.6,53.0,65.5,HEALTHY
16:08.6,0.0,65.3,HEALTHY
16:13.6,0.0,65.2,HEALTHY
16:18.6,41.0,65.0,HEALTHY
16:23.6,0.0,65.0,HEALTHY
16:28.6,0.0,65.0,HEALTHY
16:33.6,0.0,65.0,HEALTHY
16:38.6,0.0,65.0,HEALTHY
16:43.6,0.0,65.0,HEALTHY
16:48.6,53.0,65.0,HEALTHY
16:53.6,0.0,65.4,HEALTHY
16:58.6,0.0,65.3,HEALTHY
17:03.6,0.0,65.2,HEALTHY
17:08.6,0.0,65.2,HEALTHY
17:13.6,0.0,65.1,HEALTHY
17:18.6,1.3,65.1,HEALTHY
17:23.6,0.0,65.1,HEALTHY
17:28.6,39.0,65.1,HEALTHY
17:33.6,30.0,65.0,HEALTHY
17:38.6,0.0,65.1,HEALTHY
17:43.6,0.0,65.0,HEALTHY
17:48.6,0.0,65.0,HEALTHY
17:53.6,46.3,65.1,HEALTHY
17:58.6,0.0,65.1,HEALTHY
18:03.6,0.0,65.0,HEALTHY
18:08.6,0.0,65.4,HEALTHY
18:13.6,0.0,65.3,HEALTHY
18:18.6,1.1,65.4,HEALTHY
18:23.6,0.0,65.4,HEALTHY
18:28.6,0.0,65.4,HEALTHY
18:33.6,0.0,65.4,HEALTHY
18:38.6,51.0,65.4,HEALTHY
18:43.6,0.0,64.7,HEALTHY
18:48.6,0.0,64.3,HEALTHY
18:53.6,0.0,64.4,HEALTHY
18:58.6,46.0,64.5,HEALTHY
19:03.6,53.0,64.4,HEALTHY
19:08.6,0.0,64.5,HEALTHY
19:13.6,59.0,64.5,HEALTHY
19:18.6,0.0,64.2,HEALTHY
19:23.6,0.0,64.2,HEALTHY
19:28.6,0.0,64.3,HEALTHY
19:33.6,0.0,64.1,HEALTHY
19:38.6,0.0,64.1,HEALTHY
19:43.6,4.8,64.1,HEALTHY
19:48.6,0.0,64.5,HEALTHY
21:33.6,0.0,66.7,HEALTHY
21:38.7,0.0,66.8,HEALTHY
21:48.6,51.0,66.3,HEALTHY
